Время срабатывания,Квитировать,Сообщение
10.06.2020 06:18:31.764,Не квитировано,Компрессор К-113. ОТКЛЮЧЕН
10.06.2020 06:18:31.715,Не квитировано,Вентилятор АТ-102/1. ВКЛЮЧЕН
10.06.2020 06:18:31.534,Не квитировано,Соленоидный клапан К112-СR2. ЗАКРЫТ
10.06.2020 06:18:31.534,Не квитировано,"Соленоидный клапан К112-СR2. ПОЛУЧЕНА КОМАНДА ""ЗАКРЫТЬ АВТОМАТИЧЕСКИ"""
10.06.2020 06:18:04.932,Не квитировано,Соленоидный клапан К113-СR1. ЗАКРЫТ
10.06.2020 06:18:04.932,Не квитировано,"Соленоидный клапан К113-СR1. ПОЛУЧЕНА КОМАНДА ""ЗАКРЫТЬ АВТОМАТИЧЕСКИ"""
10.06.2020 06:17:47.264,Не квитировано,Вентилятор АТ-102/1. НАЗНАЧИТЬ РЕЖИМ РЕЗЕРВНЫЙ АВТОМАТИЧЕСКИ
10.06.2020 06:17:47.264,Не квитировано,Вентилятор АТ-102/1. НАЗНАЧЕН РЕЖИМ РЕЗЕРВНЫЙ
10.06.2020 06:17:47.164,Не квитировано,Вентилятор АТ-102/1. ОТКЛЮЧЕН
10.06.2020 06:17:46.914,Не квитировано,Вентилятор АТ-102/1. КОМАНДА - ОТКЛЮЧИТЬ АВТОМАТИЧЕСКИ
10.06.2020 06:17:44.666,Не квитировано,Вентилятор АТ-111/3. ОТКЛЮЧЕН
10.06.2020 06:17:44.416,Не квитировано,Вентилятор АТ-111/3. КОМАНДА - ОТКЛЮЧИТЬ АВТОМАТИЧЕСКИ
10.06.2020 06:17:38.914,Не квитировано,Вентилятор АТ-102/1. ВКЛЮЧЕН
10.06.2020 06:17:38.434,Не квитировано,"Соленоидный клапан К113-СR2. ПОЛУЧЕНА КОМАНДА ""ЗАКРЫТЬ АВТОМАТИЧЕСКИ"""
10.06.2020 06:17:38.214,Не квитировано,Вентилятор АТ-102/1. НАЗНАЧЕН РЕЖИМ ОСНОВНОЙ
10.06.2020 06:17:38.214,Не квитировано,Вентилятор АТ-102/1. НАЗНАЧИТЬ РЕЖИМ ОСНОВНОЙ АВТОМАТИЧЕСКИ
10.06.2020 06:17:38.214,Не квитировано,Вентилятор АТ-102/1. КОМАНДА - ВКЛЮЧИТЬ РЕЗЕРВНЫЙ АГРЕГАТ КАК ДОПОЛНИТЕЛЬНЫЙ АВТОМАТИЧЕСКИ
10.06.2020 06:17:00.215,Не квитировано,Вентилятор АТ-111/3. ВКЛЮЧЕН
10.06.2020 06:16:59.515,Не квитировано,Вентилятор АТ-111/3. КОМАНДА - ВКЛЮЧИТЬ АВТОМАТИЧЕСКИ
10.06.2020 06:16:56.063,Не квитировано,Вентилятор АТ-102/1. НАЗНАЧЕН РЕЖИМ РЕЗЕРВНЫЙ
10.06.2020 06:16:56.063,Не квитировано,Вентилятор АТ-102/1. НАЗНАЧИТЬ РЕЖИМ РЕЗЕРВНЫЙ АВТОМАТИЧЕСКИ
10.06.2020 06:16:55.963,Не квитировано,Вентилятор АТ-102/1. ОТКЛЮЧЕН
10.06.2020 06:16:55.713,Не квитировано,Вентилятор АТ-102/1. КОМАНДА - ОТКЛЮЧИТЬ АВТОМАТИЧЕСКИ
10.06.2020 06:16:46.613,Не квитировано,Вентилятор АТ-102/1. ВКЛЮЧЕН
10.06.2020 06:16:45.913,Не квитировано,Вентилятор АТ-102/1. КОМАНДА - ВКЛЮЧИТЬ РЕЗЕРВНЫЙ АГРЕГАТ КАК ДОПОЛНИТЕЛЬНЫЙ АВТОМАТИЧЕСКИ
10.06.2020 06:16:45.913,Не квитировано,Вентилятор АТ-102/1. НАЗНАЧЕН РЕЖИМ ОСНОВНОЙ
10.06.2020 06:16:41.365,Не квитировано,Вентилятор АТ-111/3. ОТКЛЮЧЕН
10.06.2020 06:16:41.115,Не квитировано,Вентилятор АТ-111/3. КОМАНДА - ОТКЛЮЧИТЬ АВТОМАТИЧЕСКИ
10.06.2020 06:16:06.362,Не квитировано,Вентилятор АТ-102/1. НАЗНАЧИТЬ РЕЖИМ РЕЗЕРВНЫЙ АВТОМАТИЧЕСКИ
10.06.2020 06:16:06.362,Не квитировано,Вентилятор АТ-102/1. НАЗНАЧЕН РЕЖИМ РЕЗЕРВНЫЙ
10.06.2020 06:16:06.262,Не квитировано,Вентилятор АТ-102/1. ОТКЛЮЧЕН
10.06.2020 06:16:06.013,Не квитировано,Вентилятор АТ-102/1. КОМАНДА - ОТКЛЮЧИТЬ АВТОМАТИЧЕСКИ
10.06.2020 06:15:56.412,Не квитировано,Вентилятор АТ-102/1. ВКЛЮЧЕН
10.06.2020 06:15:55.712,Не квитировано,Вентилятор АТ-102/1. КОМАНДА - ВКЛЮЧИТЬ РЕЗЕРВНЫЙ АГРЕГАТ КАК ДОПОЛНИТЕЛЬНЫЙ АВТОМАТИЧЕСКИ
10.06.2020 06:15:55.712,Не квитировано,Вентилятор АТ-102/1. НАЗНАЧЕН РЕЖИМ ОСНОВНОЙ
10.06.2020 06:15:55.712,Не квитировано,Вентилятор АТ-102/1. НАЗНАЧИТЬ РЕЖИМ ОСНОВНОЙ АВТОМАТИЧЕСКИ
10.06.2020 06:15:52.214,Не квитировано,Вентилятор АТ-111/3. ВКЛЮЧЕН
10.06.2020 06:15:51.514,Не квитировано,Вентилятор АТ-111/3. КОМАНДА - ВКЛЮЧИТЬ АВТОМАТИЧЕСКИ
